"PRÉDIO COMERCIAL. Excelente imóvel comercial, localizado num dos principais pontos da Avenidas Manoel Goulart, à poucos metros da Rodovia Raposo Tavares, com 1.083,00 (um mil e oitenta e três) m de área construída, servido por 02 (dois) barracões individuais, sendo um com aproximadamente 883 (oitocentos e oitenta e três) m, composto por uma recepção, 02 (dois) salas privativas, 02 (dois) banheiros e 01 (um) copa. Nos fundos do imóvel possui um segundo barracão com aproximadamente 200 (duzentos) m, servido por 01 (um) banheiro (sendo adaptado para portadores de necessidades especiais). - OBSERVAÇÕES: Estacionamentoprivativo;Portõesde enrolar automáticos;02 barracões individuais;Entre os dois barracões possui um espaço livre de 252 (duzentos e cinquenta e dois) m;Imóvel em excelente estado de conservação; - PONTOS FORTES: Cristo;Telha Norte;Sesc Termas;Euromarket;Rodovia Raposo Tavares;",imovel
"Excelente terreno comercial, localizado em uma avenida com alto fluxo de veículos, com aproximadamente 453 (quatrocentos e cinquenta e três) m² de terreno, e 17 (dezessete) m² de construção, contendo uma sala e um banheiro (sendo adaptado para portadores de necessidades especiais), ótima opção para estacionamento ou lava-jato.ProximidadeEuromarketHospital IamadaCentral ParkColégio ÁtomoAvenida Manoel Goulart",imovel
"Imóvel residencial próximo ao centro, contendo entrada para carros, varanda, sala de estar, sala de jantar, banheiro social, 03 (três) dormitórios, cozinha e área de serviço.",imovel
"Belíssimo apartamento, localizado em bairro nobre, local arborizado e frente para o parque do povo, contendo ampla sala em 02 (dois) ambientes (sendo sala de estar e sala de TV) com sacada, lavabo, sala de jantar, hall privativo, 03 (três) suítes (todas com armário embutido, sacada e uma máster), cozinha planejada com despensa, área de serviço, dependência para funcionária (dormitório e banheiro), garagem para 02 (dois) carros e box para despejo.",imovel
"Apartamento contendo: ampla sala 2 ambientes, 3 dormitórios (sendo 1 suíte), banheiro social, cozinha, lavanderia com banheiro e vaga garagem. - OBSERVAÇÕES: dormitórios com armários embutidos,banheiros com armários e box blindex,cozinha planejada. - PONTOS FORTES: portaria 24 horas, amplo espaço no térreo e sala de estar.",imovel
"Apartamento contendo hall de circulação, salas de visita, TV e jantar, lavabo, 04 (quatro) dormitórios (sendo 04 (quatro) suítes), cozinha com sala de almoço, área de serviço, dependência de empregada com banheiro, 04 (quatro) vagas de garagem e 02 (dois) nichos.",imovel
"Excelente imóvel comercial, localizado no bairro jardim rio 400, com fácil acesso à rodovia raposo tavares, contendo um terreno de aproximadamente 4.377,00m² e 461,51 m2 de área construída, servido por um escritório com recepção e banheiro, hall de circulação com 05 salas (sendo todos os ambientes climatizados e uma sala com banheiro privativo) e copa. Na parte externa, possui uma garagem com espaço gourmet, 02 banheiros (masculino e feminino), e um barracão coberto. 
OBS: O LOCADOR ESTÁ DISPOSTO A CONSTRUIR NO TERRENO, DE ACORDO COM A NECESSIDADE DO CLIENTE. VALOR DE ALUGUEL À NEGOCIAR.",imovel
"TERRENO EM CONDOMÍNIO. Damha IV 
Área total de 426,30 m. Ótima topografia, localizado próximo à área de lazer e fácil acesso interno à portaria. Fácil conexão viária com todas as regiões da cidade, localização nobre na Zona Sul. Distante à 5 minutos de importantes avenidas como: Av Manoel Goulart, Coronel Marcondes e Brasil, e do Parque do Povo. O condomínio possui segurança planejada com excelente área de lazer incluindo: academia, quadra de tênis, vôlei e poliesportiva, playground, piscina com varanda (adulto e infantil), lago, churrasqueira, salão de festa gourmet, campo de futebol suíço e mini campo, centro de convívio, praça da saúde e praça dos redários.

- OBSERVAÇÕES: Avenida externa de acesso ao condomínio contendo 04 pistas e jardim central, totalizando 30 metros de largura. 
Cinturão verde com 184 m de áreas verdes que abraça o empreendimento e sistema de lazer, proporcionando privacidade e segurança. Projeto de interiores do centro de convívio, duas praças temáticas, ruas internas com 14 metros de largura, com alta qualidade construtiva.

- PONTOS FORTES: Inserção urbana inteligente: O empreendimento está estrategicamente localizado no principal vetor de crescimento de áreas nobres da cidade,Respeito ao verde e ao meio ambiente:o Damha IV respeita a topografia da região e preserva espécies nativas,Recursos hídricos:sistema de drenagem sustentável, com bacia de retenção de águas pluviais.",imovel
"Imóvel residencial, contendo garagem para 02 (dois) carros, sala de estar, sala de jantar (com porta balcão, dando acesso ao quintal), hall de circulação com banheiro social, 03 (três) dormitórios (sendo um apartamento), cozinha com gabinete e fogão cooktop, área de serviço e espaço gourmet com churrasqueira. Edicula nos fundos, servida por dormitório, banheiro e cozinha.",imovel
"CASA (ASSOBRADADA) EM CONDOMÍNIO - CENTRAL PARK RESIDENCE.
Excelente imóvel residencial, com fino acabamento, localizado em um dos melhores condomínios da cidade, alto padrão, contendo no pavimento inferior garagem para 02 (dois) carros com acesso para 02 (dois) escritórios com armários, ampla sala com  02 (dois) ambientes (sendo visita e estar), lavabo, 01 (uma) sala privativa de TV, roupeiro, jardim inverno, 01 (uma) sala de jantar com pé direito duplo, ampla cozinha planejada com (balcão ilha com pia, fogão cooktop e axaustor, mesa agregada a iha para lanches e refeições), área de serviço. Área externa anexo 01 (um) dormitório (apartamento), sauna, ducha e banheiro, espaço gourmet, cômodo despejo, ampla piscina com paisagismo. Piso superior composto por sala íntima, hall de circulação, 03 (três) suítes (sendo uma máster com hidro massagem, amplo closet com armário).",imovel
"Terreno Residencial e Comercial na área Central contendo 220,00 m² (sendo 10x22).",imovel
"Apartamento residencial, localizado próximo a Unoeste do Campus I, contendo sala de visitas com sacada, hall de circulação com banheiro social, 02 (dois) dormitórios, cozinha, área de serviço e garagem para 01 carro.",imovel
"Imóvel residencial, localizado em condomínio fechado, contendo entrada para 02 (dois) carros, sala de visitas, hall de circulação com banheiro social, 02 (dois) dormitórios, cozinha com gabinete, área de serviço e quintal.
​",imovel
"Excelente chácara, contendo residência semi-mobiliada, servida por área, sala de visitas com sofá, TV de plasma e bar, sala de jantar completa, 03 (três) dormitórios (sendo dois apartamentos, todos com cama e colchão), banheiro social e cozinha com fogão. Amplo barracão para festas, com churrasqueira, 02 (dois) banheiros (sendo masculino e feminino), 02 (duas) piscinas (sendo uma com cascata e bar), parquinho para crianças, amplo espaço verde e estacionamento para veiculos.ProximidadeAo lado do clube EcoFrente à fundição OlivetteObservações  Excelente opção para festas e confraternizaçõesSemi-mobiliadaPiscina com bar e cascata",imovel
"TERRENO COMERCIAL RESIDENCIAL. Área 16.809,51m².Excelente localização e topografia, de esquina, ideal para condomínios verticais ou horizontais, barracões, comércios em geral, contém: asfalto, guia, calçada e muro.",imovel
"Terreno de esquina com metragem de 423,54 m².",imovel
"OPORTUNIDADE DE LOCAÇÃO, complexo comercial denominado ESPAÇO TROPICAL, chegou em nossa cidade, localizado em uma das princípais vias, alto fluxo de veículos, interligando um dos principais bairros, próximo a rodovia Raposo Tavares, conta com 15 (quinze) lojas e estacionamento de uso comum com aproximadamente 50 (cinquenta) vagas. O imóvel possui área construída de aproximadamente 54,34 m2, servido por 02 (dois) banheiros (sendo um adaptado para portadores de necessidades especiais) e copa. Pé direito duplo, tendo a possibilidade da instalação de mezanino.",imovel
"Excelente apartamento residencial, em edifício e bairro de alto padrão, contendo sala em 02 (dois) ambientes (sendo sala de estar e sala de jantar), sacada gourmet com churrasqueira com linda vista, hall de circulação com banheiro social, 03 (três) dormitórios (sendo um apartamento), cozinha planejada (estilo americana), área de serviços com armário embutido e garagem para 02(dois) carros.  Armários embutidos conforme imagens, na sacada gourmet, nos banheiros (também com box e chuveiros), nos dormitórios e apartamento, inclusive com camas, no apartamento, cabeceira da cama e 02 criados-mudos",imovel
"Oportunidade de locação, ideal para órgãos públicos em geral, secretarias, clínicas, escolas, entre outros. Imóvel contendo aproximadamente 788,85m2 de área construída, no qual o cliente pode modificar e modular, de acordo com a sua necessidade e de sua operação. Estacionamento privativo fechado para 12 (doze) veículos e estacionamento frontal aberto, para aproximadamente 08 (oito) veículos.",imovel
"Sala comercial, localizada em clínica odontológica, servida por recepção, sala de espera, 

02 (dois)

banheiros de uso comum 

(sendo um adaptado para portadores de necessidades especiais), copa e vaga frontal para 01(um) carro.",imovel
"Excelente opção de sala comercial, localizado no charmoso Centro Comercial ""Concept Office"", próximo ao centro, contendo aproximadamente 74,80m2 de área construída, servida por 02 (dois) banheiros privativos. 

O Centro Comercial, conta em sua área comum com paisagismo, câmeras de segurança, banheiro adaptado para portadores de necessidades especiais e nobre padrão de acabamento. 

Possibilidade de locar vaga privativa na garagem (consultar valor);",imovel
"Maravilhoso apartamento de alto padrão, em fino acabamento, localizado em área nobre da cidade com frente para o Parque do Povo, contendo ampla sala em 03 (três) ambientes (sendo sala de estar, sala de jantar com bar embutido e sala de TV) com sacada, lavabo, banheiro social, 03 (três) dormitórios (sendo uma suíte com sacada, todos com armário embutido), cozinha planejada, área de serviço, dependência para funcionária (dormitório com armário embutido e banheiro) e garagem para 02 (dois) carros.",imovel
"Excelente imóvel comercial, localizado numa das principais avenidas, com alto fluxo, devidamente adaptado com banheiro e elevador, ideal para vários seguimentos, tais como consultórios, clínicas, escritórios, escolas, lojas, entre outros. Estacionamento aproximadamente 05 (cinco) carros, amplo salão com recepção, 06 (seis) banheiros distribuídos em seus ambientes, salas privativas com banheiro, sala de reunião, refeitório e área de serviço.",imovel
"Ótimo apartamento residencial, recém entregue pela construtora, servido por portaria 24h, contendo sala de estar, hall de circulação com banheiro social, 02 (dois) dormitórios, cozinha, área de serviço e vaga de garagem para 01 (um) carro.",imovel
"TERRENO EM CONDOMÍNIO  -  PORTO SEGURO RESORT.Esquina, 393 m²Excelente topografia.Próximo a área de lazer.",imovel
"Ótimo apartamento residencial, servido por portaria 24h, contendo sala de estar com sacada, hall de circulação com banheiro social, 03 (três) dormitórios, cozinha com armário embutido, área de serviço e vaga de garagem para 01 (um) carro.",imovel
"Apartamento residencial, em frente à faculdade Toledo, contendo sala de estar, hall de circulação com banheiro social, 02 (dois) dormitórios, cozinha estilo americana, área de serviço e vaga coberta para 01 (um) carro.",imovel
"Terreno em condomínio fechado

Área 259,38m²
Topografia plana
Próximo a portaria",imovel
"Imóvel comercial, localizado próximo ao centro da cidade em rua de grande fluxo, servido por uma recepção, 02 salas e 01 (um) banheiro (sendo adaptado para portadores de necessidades especiais). Piso superior, com espaço para depósitos.",imovel
"Ótimo apartamento residencial, localizado em bairro nobre, próximo ao Prudenshopping e vista para o parque do povo, contendo ampla sala em dois (02) ambientes (sendo sala de estar e sala de jantar), hall de circulação com banheiro social, três (03) dormitórios (sendo uma (01) suíte, todos com armários embutidos, ares-condicionado e sacada), cozinha planejada, área de serviço com dependência para funcionária (dormitório e banheiro) e duas (02) vagas garagem.",imovel
"APARTAMENTO RESIDENCIAL EDIF PEDRO MARTINS. (77,11m² área util). 
Apartamento residencial, localizado próximo ao parque do povo São Judas Tadeu, contendo sala em 02 (dois) ambientes sendo (sala de estar e jantar) com ventilador de teto e sacada, hall de circulação com banheiro social, 02 (dois) dormitórios (sendo um apartamento) com ar condicionado, cozinha com armário, área de serviço, 01 (vaga) vaga de garagem (nº 4). Apto contém interno uma escada no formato de caracol que da acesso ao piso superior, onde, possui um amplo espaço que pode ser utilizado por varias finalidades (Tv, escritório e outros), dando acesso para um enorme terraço externo com ducha, e maravilhosa vistas da cidade.",imovel
"Apartamento residencial, localizado no térreo, contendo sala de estar, hall de circulação com banheiro social, 02 (dois) dormitórios, cozinha, área de serviço e garagem para 01 (um) carro.",imovel
"Imóvel comercial, localizado no melhor Centro Comercial da cidade, com mais de 80 (oitenta) vagas de estacionamento de uso comum, distribuídas no subsolo e térreo (sendo sessenta vagas cobertas), localizado numa das principais avenidas, com alto fluxo de pedestres e veículos, próximo ao Prudenshopping e tendo como vizinhos do mesmo complexo KALUNGA, DROGARIA SÃO PAULO, AZUL, FLORES BELA, VIVA CLIMA, GRIFFES OUTLET. O salão no piso inferior possui 148,27 m de espaço total. - OBSERVAÇÕES: Podemos adequar o imóvel e deixá-lo semelhante ao 3D, neste caso, sujeito a alteração de valores no aluguel.Estacionamento de uso comum, com mais de 80 (oitenta) vagas (sendo sessenta vagas cobertas);Água e energia individualizadas; - PONTOS FORTES: KALUNGA;DROGARIA SÃO PAULO;Padaria São Paulo;Castell Veículos;Caixa Econômica Federal;Banco Itaú;Prudenshopping;",imovel
"Excelente apartamento residencial, localizado em bairro nobre, contendo ampla sala em 02 (dois) ambientes (sendo sala de estar e sala de jantar), sacada, lavabo, hall de circulação com banheiro social, 03 (três) dormitórios (sendo um apartamento, todos com armário embutido e sacada), ampla cozinha planejada, área de serviço aberta, com dependência para funcionária (dormitório e banheiro) e garagem para 02 (dois) carros.",imovel
"Excelente apartamento residencial, em edifício e bairro de alto padrão, contendo sala em 02 (dois) ambientes (sendo sala de estar e sala de jantar), sacada gourmet com churrasqueira com linda vista, hall de circulação com banheiro social, 03 (três) dormitórios (sendo um apartamento), cozinha planejada (estilo americana), área de serviços com armário embutido e garagem para 01(um) carro.",imovel
"Sala comercial, localizado no maior complexo da cidade denominado EUROMARKET, com localização privilegiada em frente ao Cristo, com aproximadamente 40,00m² de área privativa (inferior). Área comum com ambiente climatizado, servido por amplo estacionamento com cerca de 300 vagas, banheiros de uso comum, praças de alimentação, área de convívio, entre outros atrativos.

No Euromarket você encontra diversas opções de gastronomia, prestação de serviços, saúde, estética entre outras variedades.

Proximidade
• Avenida Manoel Goulart
• Cristo
• Prundenshopping
• Concessionárias: Fiat, Hyundai, Jeep, Nissan, Cremone, entre outras
• Telha Norte

Observações
• O VALOR DA LOCAÇÃO É R$ 150,00 O M² (METRO QUADRADO). O VALOR DO ALUGUEL ACIMA ESTÁ COM 50% (CINQUENTA POR CENTO) DE DESCONTO PARA OS PRIMEIROS 06 (SEIS) MESES DE LOCAÇÃO.
• Área privativa 40,00m²
• Estacionamento aproximadamente 300 vagas
• Segurança
• Praças de alimentação
• Gastronomia
• Entretenimento
• Saúde",imovel
"CASA TÉRREA EM CONDOMÍNIO - VALÊNCIA I - EM CONSTRUÇÃO
Residencia Térrea Nova com garagem para 02 veículos, salas de visitas e jantar, lavabo, cozinha com armários planejados (fogão cooktop e coifa), churrasqueira em anexo a cozinha, varanda, banheiro social externo, lavanderia coberta, despensa, hall dos dormitórios sendo uma suíte com closet e dois dormitórios servidos por um banheiro social",imovel
"Imóvel Residencial e Comercial contendo: Hall entrada, lavabo, salas de estar, jantar e almoço, cozinha, 3 dormitórios (1 suíte), banheiro social, varanda, vagas de garagem. Anexo: lavanderia, banheiro, despejo, área de serviço, quintal com espaço para piscina e árvores frutíferas.

- OBSERVAÇÕES: Viabilidade para transformar em comercial.Amplos ambientes: Hall entrada, sala de reuniões, atendimentos, ótima acessibilidade e espaço para vagas de garagem.

- PONTOS FORTES: Fácil acesso,Ótima localização, próximo de avenida,Imóvel construído com acessibilidade, Ambientes são de fácil acesso, podem ser utilizados como salas para atendimentos de clínicas, escritórios ou outras atividades,As vagas de garagens podem se tornar em maiores quantidades removendo-se a grade, facilitando assim o acesso e ocupação.",imovel
"Fazenda contendo 61,43 alqueires, localizada no município de Bataguassu, com potencial para loteamento, indústria e comércio.",imovel
"Amplo apartamento, próximo ao Parque Shopping, Santa Casa Supermercados Muffato e Avenida, ou seja, muito bem localizado, contendo sala em 02 (dois) ambientes (sala de estar e sala de jantar) com sacada, hall de circulação com banheiro social e roupeiro, 03 (três) dormitórios (sendo um apartamento, dois com armário embutido), cozinha planejada com mesa para refeição, despensa, área de serviço com quarto de despejo, banheiro e garagem para 01 (um) carro.",imovel
"TERRENO RESIDENCIAL BONGIOVANI. 
Área total 235,36 m², boa topografia, esquina, calçada e pronto para construir.",imovel
"RESIDÊNCIA TÉRREA.  AT 968m² - AC 513m².
Contendo varias vagas de garagem coberta em anexo (02) dois cômodos, hall de entrada, escritório, lavabo, amplas salas de (jantar, visita e estar), hall de cirulação com acesso para sala de Tv, (04) quatro dormitórios sendo (04) quatro suites com armários embutidos e ar condicionados, das (04) suites (01) uma suite é master com (closet com armários embutidos, hidro e ar condicionados), cozinha com armários, despensa, dormitório e banheiro para secretaria do lar, área de serviço com despejo e banheiro, amplo quintal com espaço gourmet, extensa varanda com vistas para um maravilhoso paisagismo na lateral do imóvel.",imovel
"Terreno no Jardim Itacaré com 231,98m² de esquina possibilitando uma residência diferenciada e com muito estilo.",imovel
"Apartamento residencial, NOVO (primeiro morador), localizado em região nobre, em frente ao Parque do Povo, condomínio com infra-estrutura completa, servido por sala de estar com varanda gourmet, hall de circulação com banheiro social, 02 (dois) dormitórios (sendo um apartamento, ambos com armário embutido), cozinha planejada com cooktop e forno, área de serviço e garagem para 02 (dois) carros. 
OBS: Estão sendo providenciados os móveis planejados para os dormitórios e cozinha.",imovel
"Terreno em condomínio fechado

Área 276m² (12,00 x 23,00 m)
Topografia plana
Próximo à portaria",imovel
"Terreno conta com 276m² e excelente topografia, localizado em frente a área de lazer do condomínio.",imovel
"Residência mista (madeira e alvenaria) contendo sala de visita, 03 (três) dormitórios, banheiro, cozinha, área de serviço, quarto de despejo e garagem.",imovel
"Apartamento residencial, contendo sala de estar, hall de circulação com banheiro social (com box), 02 (dois) dormitórios, cozinha estilo americana, área de serviço e vaga coberta para 01 (um) carro.",imovel
"Ótimo apartamento, localizado numa das regiões mais nobres e coração da cidade, contendo sala em 02 (dois) ambientes (sala de estar e sala de jantar) com sacada, hall de circulação com banheiro social e roupeiro, 03 (três) dormitórios (sendo um apartamento, dois com armário embutido), cozinha, área de serviço com dependência para empregada (dormitório e banheiro) e garagem para 01 (um) carro.",imovel
"Excelente sala comercial, localizada num dos principais pontos da Avenida Washington Luiz, à poucos metros do Prudenshopping. Empreendimento em fase de acabamento, sala com aproximadamente 44m2 de área útil, servida por 01 (um) banheiro privativos e vaga de garagem para 01(um) carro.

Proximidade

Prudenshopping
Hospital da Criança - Unimed
Parque do Povo
Audace


Observações
 

Sala NOVA (primeiro locatário)
Empreendimento em fase de acabamento",imovel
"Terreno no meio do bairro, próximo a Selas Nogueiras. O terreno conta com 200m² e uma topografia invejável.",imovel
"RESIDÊNCIA (ASSOBRADADA):

Contendo no piso inferior hall de entrada, cozinha, hall de cirulação, banheiro social, 02 (dois) dormitórios (com armários) sendo 01 (uma) suíte, lavandeiria e garagem para 02 (dois) carros. Piso superior sala de TV e espaço gourmet integrados com ar-condicionado, banheiro social e 01 (uma) suíte (com armário).",imovel
"Amplo apartamento localizado numa das regiões mais nobres e coração da cidade, contendo sala em 02 (dois) ambientes (sala de estar e sala de jantar) com sacada, hall de circulação com banheiro social e roupeiro, 03 (três) dormitórios (sendo um apartamento, dois com armário embutido), cozinha planejada com mesa para refeição, despensa, área de serviço com quarto de despejo, banheiro e garagem para 01 (um) carro. É comprar e entrar!",imovel
"Excelente sala comercial, localizada num dos principais pontos da Avenida Washington Luiz, à poucos metros do Prudenshopping. Empreendimento em fase de acabamento, sala com aproximadamente 44m2 de área útil, servida por 01 (um) banheiro privativos e vaga de garagem para 01(um) carro.

- OBSERVAÇÕES: Sala NOVA (primeiro locatário);Empreendimento em fase de acabamento;

- PONTOS FORTES: Prudenshopping;Hospital da Criança - Unimed;Parque do Povo;Audace;",imovel
"Oportunidade de locação, excelente sala comercial, localizada em bairro nobre e avenida de alto fluxo, com fino acabamento, servido por sala de espera, recepção (ambos os ambientes com ar-condicionado), banheiro, hall de distribuição, sala privativa com ar-condicionado e banheiro, sala de arquivo, copa e garagem para 01 (um) carro.

Proximidade

Prudenshopping
Audace
Instituto do Coração
Parque do Povo

Observações
 

OS MÓVEIS QUE ESTÃO NA SALA ESTÃO EMBUTIDOS NO VALOR DO ALUGUEL. CASO O CLIENTE QUEIRA QUE RETIRE OS MÓVEIS, DECORAÇÃO, UTENSÍLIOS E ELETRÔNICOS, O ALUGUEL PASSARÁ A SER R$ 1.500,00 + ENCARGOS.
Ideal para consultórios e escritórios
Portaria 24H",imovel
"Salão comercial, contendo aproximadamente 201,59m2 de área construída, servido por estacionamento frontal para 03 (três) carros, 02 (dois) banheiros e mezanino.",imovel
"Excelente sala comercial, com fino acabamento, localizada em consultório de psicologia, servido por recepção, banheiro social (adaptado para portadores de necessidades especiais), copa mobiliada (todos ambientes de uso comum). Sala com aproximadamente 21 (vinte e um) m2, servida por 01 (um) aparelho de ar-condicionado.
 

Consultório parcialmente mobiliado;
Condomínio incluso: Água, energia e IPTU;",imovel
"Excelente terreno de esquina com 345,43 m², ótimo para construção comercial ou residencial.",imovel
"Apartamento residencial, localizado em bairro nobre próximo ao jardim Morumbi, servido por portaria eletrônica, contendo sala em 02 (dois) ambientes (sala de estar e sala de jantar) com sacada, hall de circulação com banheiro social, 03 (três) dormitórios (sendo um apartamento, com armário embutido), cozinha com armários, área de serviço, quarto para despejo, banheiro para funcionária e garagem para 01 (um) carro.",imovel
"Imóvel comercial com aproximadamente 470,26 m² de área construída(atual), com estacionamento frontal  para 02(dois) veículos, servido por uma recepção com sala de espera, 03(três) salas privativas para atendimentos ou escritório, 02(dois) banheiros(sendo 01 adaptado para portadores de necessidades especiais) e copa. Nos fundos do imóvel, possui um ambiente separado, com 01(um) sala, copa, banheiro e uma garagem coberta para cerca de 04(quatro) veículos. Aluguel no valor de R$ 10.000,00 + encargos, para receber da forma que está. 
Este imóvel poderá ser reformado ou demolido e construído novamente, de acordo com a necessidade do cliente. Valores de aluguel serão revisados, de acordo com o investimento a ser realizado.",imovel
